ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,NOMBRE_TARIFA_PLAN,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,SMS_LIBRES,RED_DESTINO,TARIFA_SMS_ADICIONAL,MB_DISPONIBLES,ORIGEN_LLAMADA,PRECIO_MENSUAL,PRECIO_MB_ADICIONAL,DENOMINACION_TECNOLOGIA,TIPO_PAGO,OTROS_BENEFICIOS
12530,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE 200,0.86,0.86,0.86,40,,0.20,1200,,200,0.029,,,
9862,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MINISMART FF 220,0.85,0.69,0.69,0,,0.20,300,,220,0.03,,,
11824,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CC 140   PARAMOUNT    ,0.89,0.67,0.67,0,,0.20,0,,169,0.029,,,
12986,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,EMPRESA PLUS 40,0.80,0.80,0.80,0,,0.20,0,,40,0.03,,,
11428,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,GIGAPLAN 105,0.70,0.50,-,5,,0.20,11264,,105,0.02,,,
13747,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PEGADITO,NA,NA,NA,NA,,0.20,NA,,150,0.03,,,
11151,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,WOW ESTUDIANTIL,1,1,1,1000,,0.20,6000,,99,0.029,,,
12488,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,BOLSA PYME FACIL 200,1.12,1.12,1.12,0,,0.20,0,,200,0.029,,,
11781,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,CC FLEXIBLE 60   PARAMOUNT    ,"1,26","1,26","1,26",0,,0.20,0,,89,0.029,,,
12537,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,EJECUTIVO LIMITE ABIERTO 700,0.80,0.80,0.80,20,,0.20,8,,700,0.029,,,
12995,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,LTE INICIAL,1.60,1.20,0.80,0,,0.20,0,,0,0.03,,,
12563,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,A TU MEDIDA   PLAN XL,1,1,1,0,,0.20,7000,,500,0.029,,,
13739,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,FACTURA FIJA 280,0.85,0.69,0.69,0,,0.20,0,,280,0.03,,,
12504,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PREPAGO VIVA,1.7,0.72,0.56,0,,0.20,0,,0,0.029,,,
11804,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PYME EXACTO 75   PARAMOUNT    ,1.10,1.10,1.10,0,,0.20,0,,104,0.029,,,
9860,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MINISMART FF 110,1.2,0.69,0.69,0,,0.20,100,,110,0.03,,,
13734,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,TIGO GSM 1000,0.80,0.80,0.80,0,,0.20,0,,1000,0.03,,,
11789,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PLAN XXL   PARAMOUNT    ,1,1,1,0,,0.20,9000,,779,0.029,,,
12970,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,BOLSA CORPORATIVA,0.60,0.60,0.60,0,,0.20,0,,25000,0.0084,,,
