ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Pando,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Oruro,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Tarija,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Potosi,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5943,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,350,POSTPAGO,   Internet Fibra On Line     provee un servicio a traves de un enlace dedicado  simetrico  ,INTERNET CORPORATIVO 40  ,40,2240,40,GPON
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,La Paz,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Cochabamba,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Santa Cruz,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Oruro,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Tarija,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Potosi,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Chuquisaca,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Beni,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5522,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Pando,,1500,PREPAGO,Ninguno,PLAN MEDIO   25000 MBPS MES,6,568,1,SATELITAL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,La Paz,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Cochabamba,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
5692,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Santa Cruz,,0,POSTPAGO,servicio de internet sobre ADSL por cobre,BAE 200,3,980,0,ADSL
