ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,MINUTOS_PULSOS_FIJOS,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
8609,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,467,0.00,0.00,0.62,0.62,0.62,280,PREPAGO,,PLAN USUARIO INTERMEDIO,,205.5,,CABLE
8611,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,667,0.00,0.00,0.62,0.62,0.62,280,PREPAGO,,PLAN USUARIO AVANZADO,,253.5,,CABLE
8621,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,0,0,0,0.6,0.45,0.3,0,PREPAGO,,PREPAGO,,0,,CABLE
8620,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,0,0,0,0.5,0.375,0.25,0,POSTPAGO,,POSTPAGO,,0,,CABLE
8622,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios/no socios,0,0,0,1.70,1.2750,0.8500,0,PREPAGO,,TODOS LOS PLANES,,0,,CABLE
11874,COOPERATIVA DE SERVICIOS PUBLICOS DE TELECOMUNICACIONES BERMEJO R L   COTABE R L ,COTABE R.L.,Tarija,,ABONADO,0,LLAMADAS,0,0,0,0,500,POSTPAGO,,NO SOCIO,,0,,CABLE
11870,COOPERATIVA DE SERVICIOS PUBLICOS DE TELECOMUNICACIONES BERMEJO R L   COTABE R L ,COTABE R.L.,Tarija,,COMERCIAL,70,LLAMADAS,0,0,0,0,265,POSTPAGO,,SOCIO,,36.58,,CABLE
11873,COOPERATIVA DE SERVICIOS PUBLICOS DE TELECOMUNICACIONES BERMEJO R L   COTABE R L ,COTABE R.L.,Tarija,,USUARIO,70,LLAMADAS,0,0,0,0,450,POSTPAGO,,NO SOCIO,,88.08,,CABLE
11871,COOPERATIVA DE SERVICIOS PUBLICOS DE TELECOMUNICACIONES BERMEJO R L   COTABE R L ,COTABE R.L.,Tarija,,OFICIAL,70,LLAMADAS,0,0,0,0,265,POSTPAGO,,SOCIO,,67.01,,CABLE
11872,COOPERATIVA DE SERVICIOS PUBLICOS DE TELECOMUNICACIONES BERMEJO R L   COTABE R L ,COTABE R.L.,Tarija,,GEMELA,70,LLAMADAS,0,0,0,0,250,POSTPAGO,,SOCIO,,47.4,,CABLE
11869,COOPERATIVA DE SERVICIOS PUBLICOS DE TELECOMUNICACIONES BERMEJO R L   COTABE R L ,COTABE R.L.,Tarija,,domiciliario,70,LLAMADAS,0,0,0,0,265,POSTPAGO,,SOCIO,,33.88,,CABLE
