ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,VIGENCIA_BOLSA,UNIDAD_VIGENCIA_BOLSA,NOMBRE_TARIFA_PLAN,MB_DISPONIBLES,PRECIO_MENSUAL,MINUTOS_COMBOS,DENOMINACION_TECNOLOGIA
2919,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,NAVEGADOR 100,13312,100,15,COMBOS
2913,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,10,DIA,NAVEGADOR 15,1536,15,4,COMBOS
2915,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,15,DIA,NAVEGADOR 30,3072,30,8,COMBOS
2916,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,20,DIA,NAVEGADOR 50,6144,50,10,COMBOS
2917,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,20,DIA,NAVEGADOR 50,6144,50,10,COMBOS
11060,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,,,4G POST   140,15360,140,,INTERNET MOVIL
3111,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,ADD ON M  S MEGAS 40 PLUS,5200,40,,INTERNET MOVIL
3113,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,ADD ON M  S MEGAS 75 PLUS,14500,75,,INTERNET MOVIL
3110,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,ADD ON M  S MEGAS 20 PLUS,2500,20,,INTERNET MOVIL
3116,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,ADD ON M  S MEGAS 220 PLUS,52000,220,,INTERNET MOVIL
3118,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,ADD ON M  S MEGAS 350 PLUS,87000,350,,INTERNET MOVIL
3119,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,,POSTPAGO,,,ADD ON M  S MEGAS 500 PLUS,125000,500,,INTERNET MOVIL
